,year,week,total_score,temperature,home_team,home_score,away_team,away_score,wind,wind_dir
106,2013,5,61,63,Browns,37,Bills,24,,S
107,2013,6,48,63,Bears,27,Giants,21,,E
108,2013,7,56,70,Cardinals,22,Seahawks,34,,SSW
109,2013,8,44,65,Buccaneers,13,Panthers,31,,NNE
110,2013,9,42,78,Dolphins,22,Bengals,20,,ESE
111,2013,10,61,70,Vikings,34,Washington,27,,N
112,2013,11,57,40,Titans,27,Colts,30,,S
113,2013,12,30,70,Falcons,13,Saints,17,,E
114,2013,13,50,70,Lions,40,Packers,10,6,S
115,2013,14,47,70,Jaguars,27,Texans,20,,SSE
116,2013,15,47,39,Broncos,20,Chargers,27,,NNW
117,2013,16,19,36,Bills,19,Dolphins,0,,SSW
118,2013,17,41,70,Falcons,20,Panthers,21,,WNW
119,2012,1,41,74,Giants,17,Cowboys,24,,N
120,2012,2,33,54,Packers,23,Bears,10,,WSW
121,2012,3,43,67,Panthers,7,Giants,36,,N
122,2012,4,39,67,Ravens,23,Browns,16,,N
123,2012,5,20,70,Rams,17,Cardinals,3,,NNW
124,2012,6,49,61,Titans,26,Steelers,23,4,SW
125,2012,7,19,73,49ers,13,Seahawks,6,,SSE
126,2012,8,53,70,Vikings,17,Buccaneers,36,,W
127,2012,9,44,61,Chargers,31,Chiefs,13,,WNW
128,2012,10,37,47,Jaguars,10,Colts,27,,N
129,2012,11,33,36,Bills,19,Dolphins,14,,N
130,2012,12,65,70,Lions,31,Texans,34,,SSW
131,2012,13,36,70,Falcons,23,Saints,13,,N
132,2012,14,39,57,Raiders,13,Broncos,26,,N
133,2012,15,47,40,Eagles,13,Bengals,34,,SSW
134,2012,16,49,70,Lions,18,Falcons,31,,WSW
135,2012,17,39,70,Falcons,17,Buccaneers,22,,NW
136,2011,1,76,63,Packers,42,Saints,34,,
137,2011,2,51,70,Lions,48,Chiefs,3,,
138,2011,3,26,75,Panthers,16,Jaguars,10,,
139,2011,4,43,59,Bengals,23,Bills,20,,
140,2011,5,55,78,Steelers,38,Titans,17,,
141,2011,6,51,67,Giants,27,Bills,24,,
142,2011,7,33,79,Dolphins,15,Broncos,18,,
143,2011,8,37,45,Giants,20,Dolphins,17,,
144,2011,9,38,61,Bills,11,Jets,27,,
145,2011,10,41,67,Chargers,17,Raiders,24,,
146,2011,11,30,48,Broncos,17,Jets,13,,
147,2011,12,42,70,Lions,15,Packers,27,,
148,2011,13,45,39,Seahawks,31,Eagles,14,,
149,2011,14,17,30,Steelers,14,Browns,3,,
150,2011,15,55,70,Falcons,41,Jaguars,14,,
151,2011,16,35,70,Colts,19,Texans,16,,
152,2011,17,36,77,Dolphins,19,Jets,17,,
153,2010,1,23,70,Saints,14,Vikings,9,,
154,2010,2,25,73,Bengals,15,Ravens,10,,
155,2010,3,68,67,Patriots,38,Bills,30,,
156,2010,4,52,48,Bills,14,Jets,38,,
157,2010,5,45,78,Bengals,21,Buccaneers,24,,
158,2010,6,38,60,Steelers,28,Browns,10,,
159,2010,7,62,64,Chiefs,42,Jaguars,20,,
160,2010,8,9,55,Jets,0,Packers,9,,
161,2010,9,48,70,Falcons,27,Buccaneers,21,,
162,2010,10,47,70,Falcons,26,Ravens,21,,
163,2010,11,16,80,Dolphins,0,Bears,16,,
164,2010,12,69,70,Lions,24,Patriots,45,,
165,2010,13,58,37,Eagles,34,Texans,24,,
166,2010,14,58,41,Titans,28,Colts,30,,
167,2010,15,41,59,Chargers,34,49ers,7,,
168,2010,16,30,27,Steelers,27,Panthers,3,,
169,2010,17,45,46,Patriots,38,Dolphins,7,,
170,2009,1,23,67,Steelers,13,Titans,10,,
171,2009,2,65,76,Titans,31,Texans,34,,
172,2009,3,33,70,Lions,19,Washington,14,,
173,2009,4,72,52,Bears,48,Lions,24,,
174,2009,5,9,45,Bills,3,Browns,6,,
175,2009,6,45,48,Bengals,17,Texans,28,,
176,2009,7,34,54,Browns,3,Packers,31,,
177,2009,8,41,48,Bills,10,Texans,31,,
178,2009,9,48,70,Falcons,31,Washington,17,,
179,2009,10,16,60,49ers,10,Bears,6,,
180,2009,11,41,61,Panthers,17,Dolphins,24,,
181,2009,12,46,70,Lions,12,Packers,34,,
182,2009,13,32,42,Bills,13,Jets,19,,
183,2009,14,19,16,Browns,13,Steelers,6,,
184,2009,15,66,60,Jaguars,31,Colts,35,,
185,2009,16,59,34,Titans,17,Chargers,42,,
186,2009,17,37,14,Bills,30,Colts,7,,
187,2019,1,57,85,Panthers,27,Rams,30,3,E
188,2019,2,40,81,Ravens,23,Cardinals,17,3,NNW
189,2019,3,38,79,Bills,21,Bengals,17,9,WSW
190,2019,4,34,70,Falcons,10,Titans,24,4,SE
191,2019,5,61,74,Panthers,34,Jaguars,27,1,E
192,2019,6,33,83,Dolphins,16,Washington,17,9,ESE
193,2019,7,52,59,Bills,31,Dolphins,21,3,WSW
194,2019,8,47,70,Falcons,20,Seahawks,27,6,WNW
195,2019,9,29,47,Jaguars,3,Texans,26,7,SSW
196,2019,10,62,56,Bengals,13,Ravens,49,5,SSW
197,2019,11,32,52,Panthers,3,Falcons,29,1,NNE
198,2019,12,23,37,Bills,20,Broncos,3,7,WSW
199,2019,13,41,47,Cowboys,15,Bills,26,6,ENE
200,2019,14,60,70,Falcons,40,Panthers,20,9,E
201,2019,15,54,53,Panthers,24,Seahawks,30,4,SW
202,2019,16,41,32,Patriots,24,Bills,17,3,S
203,2019,17,50,78,Buccaneers,22,Falcons,28,1,S
204,2018,1,50,62,Ravens,47,Bills,3,11,ENE
205,2018,2,55,70,Falcons,31,Panthers,24,5,NW
206,2018,3,80,70,Falcons,37,Saints,43,3,SE
207,2018,4,43,86,Jaguars,31,Jets,12,1,ENE
208,2018,5,25,65,Bills,13,Titans,12,3,ENE
209,2018,6,63,70,Falcons,34,Buccaneers,29,3,ESE
210,2018,7,39,64,Chargers,20,Titans,19,7,E
211,2018,8,42,48,Jaguars,18,Eagles,24,13,NE
212,2018,9,50,43,Bills,9,Bears,41,8,ESE
213,2018,10,65,38,Bengals,14,Saints,51,3,SSE
214,2018,11,45,46,Ravens,24,Bengals,21,4,SSE
215,2018,12,54,63,Cowboys,31,Washington,23,6,SSE
216,2018,13,42,70,Falcons,16,Ravens,26,4,SW
217,2018,14,50,25,Bills,23,Jets,27,6,WSW
218,2018,15,33,54,Broncos,16,Browns,17,2,NW
219,2018,16,32,64,Chargers,10,Ravens,22,4,WSW
220,2018,17,31,25,Packers,0,Lions,31,11,SSW
221,2017,1,33,61,Bills,21,Jets,12,6,NNE
222,2017,2,34,78,Ravens,24,Browns,10,1,ENE
223,2017,3,51,70,Jaguars,44,Ravens,7,7,SSE
224,2017,4,20,62,Dolphins,0,Saints,20,9,SSW
225,2017,5,31,68,Browns,14,Jets,17,5,W
226,2017,6,51,68,Ravens,24,Bears,27,4,SSW
227,2017,7,57,73,Bills,30,Buccaneers,27,3,SSW
228,2017,8,49,54,Browns,16,Vikings,33,5,NNE
229,2017,9,34,82,Texans,14,Colts,20,4,SW
230,2017,10,39,39,Bears,16,Packers,23,,NNW
231,2017,11,50,80,Dolphins,20,Buccaneers,30,4,W
232,2017,12,34,67,Cowboys,6,Chargers,28,1,S
233,2017,13,23,70,Falcons,9,Vikings,14,1,NNE
234,2017,14,20,26,Bills,13,Colts,7,4,W
235,2017,15,30,70,Lions,20,Bears,10,5,NE
236,2017,16,16,9,Packers,0,Vikings,16,1,SW
237,2017,17,46,70,Lions,35,Packers,11,5,NNW
238,2016,1,55,70,Falcons,24,Buccaneers,31,2,NNW
